Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,25,OKC,18,2,20.6,2.2,6.1,.355,1.7,4.9,.341,0.5,1.2,.409,.491,0.4,0.5,.889,0.2,1.4,1.6,0.8,0.6,0.2,0.4,1.9,6.4
2,Jaylen Adams\adamsja01,PG,22,ATL,4,0,3.3,0.3,1.0,.250,0.3,1.0,.250,0.0,0.0,,.375,0.0,0.0,,0.0,0.5,0.5,0.3,0.0,0.3,0.0,0.0,0.8
3,Steven Adams\adamsst01,C,25,OKC,20,20,34.0,6.2,10.6,.585,0.0,0.0,,6.2,10.6,.585,.585,2.2,4.1,.524,4.8,5.6,10.4,1.8,1.6,1.0,1.5,2.4,14.6
4,Bam Adebayo\adebaba01,C,21,MIA,21,1,19.1,2.8,5.0,.547,0.0,0.1,.000,2.8,4.9,.563,.547,2.3,3.3,.700,2.1,5.0,7.1,1.3,0.6,0.8,1.2,2.6,7.9
5,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,6,0,3.5,0.5,1.7,.300,0.0,0.7,.000,0.5,1.0,.500,.300,0.2,0.3,.500,0.2,0.5,0.7,1.0,0.3,0.0,0.2,0.7,1.2
6,LaMarcus Aldridge\aldrila01,C,33,SAS,22,22,34.4,7.0,16.1,.432,0.0,0.4,.000,7.0,15.7,.443,.432,3.9,4.7,.817,3.7,6.9,10.6,2.4,0.4,1.2,1.9,1.9,17.8
7,Grayson Allen\allengr01,SG,23,UTA,14,1,10.5,1.4,3.9,.345,0.7,2.5,.286,0.6,1.4,.450,.436,1.1,1.6,.696,0.1,0.1,0.2,0.4,0.1,0.0,0.7,1.1,4.6
8,Jarrett Allen\allenja01,C,20,BRK,21,21,28.0,4.8,8.0,.595,0.1,0.7,.133,4.7,7.3,.641,.601,3.0,4.3,.692,3.0,5.6,8.6,1.7,0.6,1.5,1.2,2.7,12.6
9,Al-Farouq Aminu\aminual01,PF,28,POR,22,22,29.3,2.8,7.1,.397,1.3,4.0,.326,1.5,3.0,.493,.490,1.6,1.8,.875,1.2,6.7,7.9,0.5,1.0,0.4,0.8,2.3,8.5
10,Justin Anderson\anderju01,SG,25,ATL,6,0,10.7,2.3,5.5,.424,0.2,2.0,.083,2.2,3.5,.619,.439,1.0,1.2,.857,0.7,1.0,1.7,0.7,0.8,0.2,0.5,1.7,5.8
11,Kyle Anderson\anderky01,SF,25,MEM,21,18,30.1,2.8,5.9,.468,0.1,0.6,.250,2.6,5.3,.491,.480,0.6,1.2,.520,1.3,5.1,6.4,2.9,1.2,0.7,1.2,2.3,6.3
12,Ryan Anderson\anderry01,PF,30,PHO,13,8,20.4,1.5,4.6,.317,0.5,2.6,.206,0.9,2.0,.462,.375,0.8,1.1,.786,1.1,2.3,3.4,1.3,0.2,0.1,0.8,1.5,4.3
13,Ike Anigbogu\anigbik01,C,20,IND,3,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.3,0.7,1.0,0.3,0.0,0.3,0.3,0.0,0.0
14,Giannis Antetokounmpo\antetgi01,PF,24,MIL,20,20,33.8,10.5,18.1,.577,0.3,2.6,.118,10.2,15.6,.653,.586,6.1,9.0,.682,2.6,10.4,12.9,6.0,1.5,1.3,4.3,3.1,27.3
15,Carmelo Anthony\anthoca01,PF,34,HOU,10,2,29.4,4.9,12.1,.405,2.1,6.4,.328,2.8,5.7,.491,.492,1.5,2.2,.682,0.9,4.5,5.4,0.5,0.4,0.7,0.8,3.2,13.4
16,OG Anunoby\anunoog01,SF,21,TOR,17,3,21.5,3.6,7.8,.462,1.2,4.1,.304,2.4,3.7,.635,.542,0.2,0.8,.308,0.6,1.8,2.4,0.5,0.6,0.3,0.8,2.4,8.6
17,Ryan Arcidiacono\arcidry01,PG,24,CHI,22,11,28.6,2.8,6.0,.466,1.9,4.2,.441,0.9,1.7,.526,.622,0.7,0.9,.789,0.1,2.5,2.7,4.0,1.0,0.0,1.0,2.5,8.1
18,Trevor Ariza\arizatr01,SF,33,PHO,20,20,34.7,3.2,8.5,.371,1.9,5.4,.352,1.3,3.1,.403,.482,1.5,1.8,.833,0.7,4.8,5.5,3.3,1.2,0.4,1.6,1.9,9.7
